WKT,category,latitude,longitude,datazone,name
"POINT (-4.34629 55.84409)",Potholes,55.84409,-4.34629,S01009815,Cardonald West and Central - 01
"POINT (-4.32769 55.87155)",Pavements/footpaths,55.87155,-4.32769,S01010391,Glasgow Harbour and Partick South - 04
"POINT (-4.32029 55.87056)",Potholes,55.87056,-4.32029,S01010391,Glasgow Harbour and Partick South - 04
"POINT (-4.28755 55.87254)",Potholes,55.87254,-4.28755,S01010379,Kelvingrove and University - 06
"POINT (-4.36781 55.82028)",Potholes,55.82028,-4.36781,S01009797,Pollok South and West - 06
"POINT (-4.34113 55.85509)",Potholes,55.85509,-4.34113,S01009836,Drumoyne and Shieldhall - 04
"POINT (-4.27865 55.8784)",Potholes,55.8784,-4.27865,S01010371,North Kelvin - 03
"POINT (-4.34173 55.89794)",Potholes,55.89794,-4.34173,S01010470,Anniesland West - 01
"POINT (-4.27819 55.87398)",Potholes,55.87398,-4.27819,S01010292,Woodlands - 04
"POINT (-4.27903 55.8624)",Potholes,55.8624,-4.27903,S01010283,Finnieston and Kelvinhaugh - 02
"POINT (-4.24519 55.81246)",Potholes,55.81246,-4.24519,S01009993,Kingspark South - 01
"POINT (-4.25551 55.82754)",Pavements/footpaths,55.82754,-4.25551,S01010014,Mount Florida - 04
"POINT (-4.26224 55.86174)",Potholes,55.86174,-4.26224,S01010275,City Centre South - 04
"POINT (-4.26234 55.85422)",Pavements/footpaths,55.85422,-4.26234,S01010032,Laurieston and Tradeston - 02
"POINT (-4.24578 55.85583)",Pavements/footpaths,55.85583,-4.24578,S01010264,City Centre East - 06
"POINT (-4.27034 55.85662)",Potholes,55.85662,-4.27034,S01010276,Anderston - 01
"POINT (-4.27701 55.83629)",Potholes,55.83629,-4.27701,S01009911,Strathbungo - 07
"POINT (-4.36232 55.83446)",Potholes,55.83446,-4.36232,S01009803,Pollok North and East - 05
"POINT (-4.3003 55.8805)",Pavements/footpaths,55.8805,-4.3003,S01010405,Dowanhill - 03
"POINT (-4.30687 55.88609)",Pavements/footpaths,55.88609,-4.30687,S01010365,Kelvindale - 03
"POINT (-4.31632 55.88048)",Potholes,55.88048,-4.31632,S01010416,Broomhill - 02
"POINT (-4.26523 55.85722)",Potholes,55.85722,-4.26523,S01010273,City Centre South - 02
